Sangiovese	P	01/07/08	14:24	1199734840	14.700	2.359	0.684	0.021	65.000	2.000	8.000	3.052	0.046	0.965	0.000	1.000	0.000	0.860	0.000	1.760	10.120	11.000	25.000	950.000	1.336	0.020	3.151	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.968	0.804																																																																																																																																																																																																																					
Syrah	A	01/07/08	14:11	1199734060	14.700	2.359	0.762	0.023	45.000	2.000	8.000	2.335	0.046	0.912	0.000	1.000	0.000	0.860	0.000	1.430	9.550	10.200	25.000	1010.000	1.024	0.020	2.416	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.966	0.815																																																																																																																																																																																																																					
Chablis	P	01/09/08	15:00	1199909800	14.700	2.359	0.505	0.015	45.000	2.000	8.000	2.686	0.046	0.965	0.000	1.000	0.000	0.860	0.000	1.650	9.520	11.300	25.000	1010.000	1.178	0.020	2.779	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.966	0.816																																																																																																																																																																																																																					
Zinfandel	A	01/09/08	13:10	1199903200	14.700	2.359	0.704	0.021	65.000	2.000	8.000	3.024	0.046	0.912	0.000	1.000	0.000	0.860	0.000	1.940	9.130	11.600	25.000	950.000	1.328	0.020	3.134	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.965	0.824																																																																																																																																																																																																																					
Sangiovese	P	01/10/08	17:10	1200004000	14.700	2.359	0.642	0.019	65.000	2.000	8.000	3.052	0.046	0.965	0.000	1.000	0.000	0.860	0.000	1.760	10.120	11.000	25.000	950.000	1.336	0.020	3.151	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.968	0.804																																																																																																																																																																																																																					
Syrah	A	01/10/08	17:47	1200006220	14.700	2.359	0.619	0.019	45.000	2.000	8.000	2.335	0.046	0.912	0.000	1.000	0.000	0.860	0.000	1.430	9.550	10.200	25.000	1010.000	1.024	0.020	2.416	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.966	0.815																																																																																																																																																																																																																					
Chablis	P	01/11/08	17:00	1200089800	14.700	2.359	0.487	0.015	45.000	2.000	8.000	2.686	0.046	0.965	0.000	1.000	0.000	0.860	0.000	1.650	9.520	11.300	25.000	1010.000	1.178	0.020	2.779	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.966	0.816																																																																																																																																																																																																																					
Zinfandel	A	01/11/08	16:45	1200088900	14.700	2.359	0.651	0.020	65.000	2.000	8.000	3.024	0.046	0.912	0.000	1.000	0.000	0.860	0.000	1.940	9.130	11.600	25.000	950.000	1.328	0.020	3.134	0.047	coarse	40.000	40.000	3.3542	40.000	40.000	2.000	2.000	0.3593	0.0001	0.0006	0.0002	0.965	0.824																																																																																																																																																																																																																					
