     18.0415     17.9032     17.7649     17.6266     17.4883     17.3500     17.2117     17.0737
     16.9351     16.7968     16.6585     16.5202     16.3819     16.2436     16.1053     15.967
     15.8287     15.6904     15.5521     15.4138     15.2755     15.1372     14.9989     14.8606
     14.7223     14.5840     14.4457     14.3074     14.1691     14.0308     13.8925     13.7542
     13.6159     13.4776     13.3393     13.2010     13.0627     12.9244     12.7861     12.6478
     12.5095     12.3712     12.2329     12.0946     11.9563     11.8180     11.6797     11.5414
     1.051     1.057     1.114     1.068     1.076     1.032     1.046     1.058
     1.064     1.099     1.078     1.067     1.113     1.120     1.106     1.182
     1.138     1.178     1.248     1.231     1.232     1.252     1.310     1.339
     1.367     1.293     1.361     1.299     1.363     1.318     1.297     1.310
     1.305     1.328     1.280     1.299     1.333     1.348     1.297     1.293
     1.330     1.385     1.356     1.323     1.357     1.394     1.378     1.404
    
    
